species	trait
Ornithorhynchus_anatinus	aerial
Dasypus_novemcinctus	aerial
Choloepus_hoffmanni	aerial
Trichechus_manatus_latirostris	aerial
Procavia_capensis	aerial
Loxodonta_africana	aerial
Orycteropus_afer_afer	aerial
Elephantulus_edwardii	aerial
Echinops_telfairi	aerial
Chrysochloris_asiatica	subterranean
Tupaia_chinensis	aerial
Tupaia_belangeri	aerial
Oryctolagus_cuniculus	aerial
Ochotona_princeps	aerial
Marmota_marmota_marmota	aerial
Ictidomys_tridecemlineatus	aerial
Heterocephalus_glaber	subterranean
Fukomys_damarensis	subterranean
Octodon_degus	aerial
Chinchilla_lanigera	aerial
Cavia_porcellus	aerial
Cavia_aperea	aerial
Jaculus_jaculus	aerial
Nannospalax_galili	subterranean
Rattus_norvegicus	aerial
Mus_pahari	aerial
Mus_spretus	aerial
Mus_musculus	aerial
Mus_caroli	aerial
Meriones_unguiculatus	aerial
Peromyscus_maniculatus	aerial
Microtus_ochrogaster	aerial
Mesocricetus_auratus	aerial
Cricetulus_griseus	aerial
Dipodomys_ordii	aerial
Castor_canadensis	aerial
Galeopterus_variegatus	aerial
Otolemur_garnettii	aerial
Propithecus_coquereli	aerial
Microcebus_murinus	aerial
Carlito_syrichta	aerial
Nomascus_leucogenys	aerial
Pongo_abelii	aerial
Pan_troglodytes	aerial
Pan_paniscus	aerial
Homo_sapiens	aerial
Gorilla_gorilla	aerial
Rhinopithecus_roxellana	aerial
Rhinopithecus_bieti	aerial
Piliocolobus_tephrosceles	aerial
Colobus_angolensis	aerial
Chlorocebus_sabaeus	aerial
Macaca_nemestrina	aerial
Macaca_mulatta	aerial
Macaca_fascicularis	aerial
Papio_anubis	aerial
Mandrillus_leucophaeus	aerial
Cercocebus_atys	aerial
Saimiri_boliviensis	aerial
Cebus_capucinus	aerial
Callithrix_jacchus	aerial
Aotus_nancymaae	aerial
Sorex_araneus	aerial
Erinaceus_europaeus	aerial
Condylura_cristata	subterranean
Rousettus_aegyptiacus	aerial
Pteropus_vampyrus	aerial
Pteropus_alecto	aerial
Rhinolophus_sinicus	aerial
Hipposideros_armiger	aerial
Miniopterus_natalensis	aerial
Myotis_davidii	aerial
Myotis_lucifugus	aerial
Myotis_brandtii	aerial
Eptesicus_fuscus	aerial
Equus_przewalskii	aerial
Equus_caballus	aerial
Equus_asinus	aerial
Ceratotherium_simum_simum	aerial
Vicugna_pacos	aerial
Camelus_dromedarius	aerial
Camelus_ferus	aerial
Camelus_bactrianus	aerial
Sus_scrofa	aerial
Odocoileus_virginianus_texanus	aerial
Pantholops_hodgsonii	aerial
Ovis_aries	aerial
Capra_hircus	aerial
Bubalus_bubalis	aerial
Bos_taurus	aerial
Bos_indicus	aerial
Bos_mutus	aerial
Bison_bison_bison	aerial
Physeter_catodon	aerial
Lipotes_vexillifer	aerial
Tursiops_truncatus	aerial
Orcinus_orca	aerial
Delphinapterus_leucas	aerial
Balaenoptera_acutorostrata_scammoni	aerial
Manis_javanica	aerial
Canis_familiaris	aerial
Odobenus_rosmarus_divergens	aerial
Neomonachus_schauinslandi	aerial
Leptonychotes_weddellii	aerial
Mustela_putorius	aerial
Enhydra_lutris_kenyoni	aerial
Ursus_maritimus	aerial
Ailuropoda_melanoleuca	aerial
Panthera_tigris_altaica	aerial
Panthera_pardus	aerial
Acinonyx_jubatus	aerial
Felis_catus	aerial
Sarcophilus_harrisii	aerial
Phascolarctos_cinereus	aerial
Notamacropus_eugenii	aerial
Monodelphis_domestica	aerial
